CG3358 CG1550
CG15772 COMT
CACTIN WDB
RAPS PAR-6
CYCG CG32560
CG14062 CYCB
LIS-1 CG15365
TBPH HLH4C
PTC CG13512
CPR97EB CPR100A
MORGUE SKPA
CG15482 PROSALPHA6T
EBI-123236 CG15634
CRN CG6856
EBI-208662 CG17295
E2F2 CG15676
SIP2 CG15747
CG5823 CG5278
CG4820 EBI-147266
TSC1 EIF4G
NUP133 BTBVII
PROS25 POLO
REV7 PAN
YP2 CG4617
ARI-1 CG7386
GRO HLHMBETA
BAP EBI-103891
EBI-147527 EBI-101606
MED20 MED6
INAD CG8136
EBI-98305 CG5792
EFF LIN19
CG8128 UNC-13-4A
FTZ-F1 EIF-4B
CG3880 NFAT
ARU YPS
ACTR13E CG10175
CG11968 SCRA
CG8840 CG11638
CG7352 BHR
YL-1 CG4365
CI CG15133
SPN-A EBI-75206
EBI-196425 EBI-219196
EBI-133084 CG7148
CG15293 TFIIEALPHA
ALD SF2
CG11852 CG10565
CG32369 ACT5C
CG10710 CG5792
CG5225 CG13700
CG15578 EBI-95719
EBI-160257 CSN3
HALE HSP70AB
CPR67FA2 CG6688
SU(H) CG7879
CG3332 PRAT2
CG13811 NUMB
CG3560 CG15634
RSF1 PS
EBI-200752 C15
EBI-182205 ECA
CG32809 CG31304
PIE SPN-A
EBI-85713 EBI-161439
RUX GEL
CNN HERP
CG18596 CG32772
CG13510 BETAGGT-I
GRIM EBI-108044
ARF72A CCTGAMMA
PAT1 CG5746
SIRT2 EBI-140532
CG18180 CG17666
STAR1 HSC70-5
CG14216 SD
CG8965 D19B
EBI-199389 CG3386
POR PIP
EXT2 CG18143
CG17666 EBI-197099
CG3081 EBI-261930
CDK4 MAPK-AK2
EBI-172258 HALE
CG4747 CG3099
MOD(MDG4) CG18271
CG32772 B52
PRC TTH
MED19 CG7757
EBI-85713 LEA
CG4942 INX2
EBI-90236 EBI-90236
ARD1 ALPH
TLL CG31029
EBI-91956 CG6412
CG14216 MI-2
CG8128 CG17746
CG6416 CG14427
EBI-207496 CG6767
RAD23 MBT
CG3353 FANCD2
CG14634 CG4328
CG7387 CCTGAMMA
EBI-75338 CUP
EBI-196732 EBI-117615
CG13124 GRASP65
FS(2)LTOPP43 CG2709
CG4313 CG14894
REV7 CG32086
CG13373 CG10395
CG3225 SEMA-2A
RECQ4 CG9027
CG17328 MASK
HDC CG13966
PLEXA SEMA-1B
SLMB EBI-106843
ODA PK17E
CG11656 CG6416
CG1324 WKD
EBI-197479 VHAAC39
OATP26F CG12393
CG11454 EF1GAMMA
CG17667 CG32581
CG12393 CG9027
C901 CG10512
EBI-196643 DFD
CG1986 MRPS18A
EBI-193297 EBI-204491
CG32016 EBI-200569
CG3338 HLH4C
CAS PEN
CG5662 TAF12
CG8368 CG13641
CG11275 CG4766
CG18292 MI-2
CG3342 CG11164
CG4785 ACT5C
FU FLO
E(SPL) HLHMBETA
CG6996 EBI-168011
CG5111 CG13030
CG6569 CG12877
CAM PLX
PIF1A SEC61ALPHA
CG9508 DNAJ-1
CG12684 CG8942
EBI-93397 CG10396
SLMB CG10990
EBI-196732 CG32354
KOKO CG18766
CG9511 CG17370
RHOGEF3 NUP58
CG11672 CG32230
P58IPK CG13458
CPR64AA EF2B
PAN ARM
CG8128 CG6923
CG14512 LMPT
CG3348 POLO
CG4835 EBI-94564
CG2246 CG7298
CG32036 EBI-94564
IP3K2 CG5890
CG13811 GASP
EBI-168390 CG3061
CG31550 CG13067
PTC NCD
GEM RPS7
MLH1 CG3011
CG9925 CG9547
CPR35B CG9572
UBX NOC
EBI-107661 CG13095
CNN BETATUB56D
PCS PAT1
ETS97D EBI-189834
CG13349 CG1324
CPR72EA RPL31
CG8942 EBI-165212
ZPR1 EF1ALPHA100E
RECQ4 SPN-A
DNAJ-1 HSC70-4
NOTCH1 BX42
CG10694 CG3321
L(2)05714 TANKYRASE
CI CI
HOP CG8863
SPN-F CG3563
CG9330 CG17293
TFIIA-L CG10979
CNC CG15631
CG7224 CG13030
CDC42 PAK
SPT5 CG8159
CG5466 SEC61ALPHA
CG12393 CG8963
CG3003 EBI-177882
CG14030 CG14946
FS(1)K10 ART4
CG13045 CYCB
EBI-233497 CG4820
CG13576 LIS-1
CG4334 EBI-96424
TERM CG1753
CG1381 CG11660
CG31163 TEPIV
CG15524 CG6607
EBI-75958 MYB
EIP63E TRX-2
EBI-136768 EBI-144341
CG11581 EA
SAV CG15022
CG32100 DNAJ-1
DANR SEC8
CCP84AB LMPT
BRM DALAO
P38B PTP-ER
FRQ2 CG12432
CG15200 CG14546
TAMO CG11164
CG13510 EIF-5A
CG14145 DRK
PMS2 CG17836
ARET SQD
CG5017 RPL31
ELONGIN-C CUL-2
CG11092 CYT-C-P
P53 BTBVII
EBI-190547 CG41099
CG4069 CG3088
EBI-139287 EBI-164632
CG7800 CG18266
SGT CG4701
CG32100 CG15631
CG5359 CG1234
CG6617 EBI-178079
E2F2 CG7296
CG31431 L(2)44DEA
EBI-182405 CG12001
EBI-120394 CG3557
SIDE CG14815
E2F2 RPS3
NUDE CG8301
VG TEAD1
EBI-195768 IP3K2
FLW CG14534
CG33980 PLIP
EBI-205338 HK
EXO70 TM2
CG7427 CG32594
CG4617 CG3679
CG13636 RPL14
CG18375 LANB1
CG4887 CG9184
EBI-198442 EBI-198486
SPOCK RPS16
CG15283 CG14168
CG6443 EXP6
CG11275 EBI-186411
CG9986 CG4364
BEAT-IA FAS2
VHAAC39 EBI-105703
ANTP EY
CG11771 CG3342
128UP SR-CI
EBI-300331 ASX
RBF DP
EBI-139956 EBI-86340
HLHM5 DA
EBI-206481 CG15422
CG14850 EBI-116450
AC E(SPL)
VHA26 EFF
EBI-169919 CG9628
TEKTIN-A CG4328
EBI-183535 CG15514
SIP1 SC2
SGT OBP57A
EBI-117860 MLP84B
VIR CG7224
TRIM9 EBI-94564
EBI-213208 LBR
SMD3 CG13277
CG14818 CG5478
REV7 UTA
EBI-82667 EBI-163201
CG5665 CG4766
EBI-160257 CG4269
CG4484 CG6769
CG12607 MOD(MDG4)
TJ CG10166
MICAL EBI-148231
CG13889 RTF1
CSN4 CG14815
SPOCK SER
FTZ-F1 CG32732
CG10103 SPAS
CG1553 PP1-87B
CPN EBI-97913
DPA MCM5
CG7628 CG5807
DLC90F OTE
CG9083 SVR
CG2865 ZFH1
PHDP LK6
DAP CG6191
EBI-199603 CG5439
CG14089 GNU
RHOGAP68F CG6753
CG9875 OC
ARI-2 CG5355
CG12010 NEDD8
UBI-P5E ERR
CG13040 BOL
CG13510 VHA36
CPR92A CG9184
CG12679 UZIP
CG13032 EBI-159091
CG7146 CG7526
CG6488 MNB
MAD2 CG31038
DYS CG9083
CG13379 RPS29
DPR9 CG13806
EBI-75338 EBI-189834
EBI-205381 CG14815
CG3078 CG3987
TBPH MYO10A
CG34355 CG17370
CG5642 CG4785
CG13373 PAN
GSC CG13458
HLHM5 HLHMBETA
SPN-A CG7656
CG8942 EBI-89349
CG32772 CG13097
CG32369 STCK
CG11769 CG9184
CG9986 CG32512
EBI-129638 NERFIN-1
H2.0 EBI-151216
CG17237 CG13458
POLO CG9727
CG11380 EBI-180312
EBI-207496 SDHB
CG14011 CAV
CG2017 CG8907
CG15482 CG17568
CG3825 PP1-13C
ECO CG7356
CG14104 SRP54
PCS CG31029
CG11566 CG4991
CG8368 ODA
E2F2 CSK
EBI-190547 CG31909
VIH CG9411
EBI-197479 GRIP71
CG11286 CG9578
ES2 CHC
INVADOLYSIN CG8942
EBI-174207 NOI
CDC14 CG11486
CG11009 CG3529
CG1017 EBI-172235
ARP11 CG2862
EBI-190547 EBI-190547
SMD3 EF2B
CG8145 CG13458
EBI-107078 CG31534
EBI-105997 CG13605
CI DCO
CG17928 CG17153
CI CG10211
CG11380 RPS3
EBI-1154754 VANG
SIRT2 SOX21B
CKIIALPHA-I1 TRAF3
EBI-147266 CG7386
EBI-208203 CG16853
UBX DSH
CG4998 PYD
SNS SYX1A
CG14879 CG14879
CG15676 CG8831
N MNT
CG10510 CG5642
CG9797 DNAJ-1
EBI-130134 EBI-134484
CG14216 CG14639
EBI-88589 CG1962
CG14869 CG15631
CYCH CYCC
EBI-90335 ARI-2
PLU CG18273
FU ACJ6
CG13576 HSP68
CG9511 CG10470
DDC CG6637
L(1)G0136 CG13458
CG9286 CTBP
CG32584 CG14054
SYX1A CG2199
MAD2 CREBB-17A
FD59A CG6322
MUD RAD51D
ERR SNR1
ALT CNN
EBI-153587 CG9426
CG11581 MAD
CG8446 CG4538
CG1135 CG31211
ALY CG9775
SCP2 CG13458
CG6660 BIP2
P115 CG9541
CG13022 CG11076
CNN CG9083
CG5103 CG13474
PAK CYP6A9
CG14814 SMT3
HS6ST C15
EBI-193871 CG15208
CG1971 CKIIBETA
EBI-82408 ACOX57D-D
MED4 EBI-194372
CG14928 CG6856
EBI-206481 RUT
MUS304 CG13576
CG5674 BRK
CG15436 CG9928
CG9674 CG9951
CG4771 CG3309
CG7231 EBI-140590
EBI-155002 GAPDH2
POLO CG6498
CPB RPL23
STL CG31357
CG2046 CG12433
DAP CG5708
CPR49AE CG17265
CG12204 CG1091
UMBREA ASP
GRK BETACOP
ARC-P20 SINA
EIP55E PDI
EBI-203651 CCTGAMMA
CYCD CG13900
CG5359 CG6241
EMP JIGR1
EBI-93918 SYX16
CG14868 CG4617
CG13001 CG7172
CG14534 EBI-115136
CI CG15445
CG10466 CG14145
CG13843 EBI-179816
PTC CAPT
FS(1)K10 FTZ
CG18094 CG14815
ARU CG9914
CG11560 KRZ
TRIM9 CG7386
CYCA CENG1A
EBI-188360 CG34383
REP1 REP4
POXM CG17024
TSC1 EBI-138946
CG7546 EBI-198509
COS BTBVII
CG2021 RPL35
EBI-101869 HLH4C
CAF1 RBF
SPZ3 CG5386
CG9572 ACT5C
SIP1 BICD
DISCO CG7188
CG15440 PAR-1
CG2975 EBI-157547
CP38 CG11076
CG2865 PCX
CPR64AD CG14079
CG17991 CG17564
CG13312 EBI-94564
CG4313 CG31133
CG12081 EBI-180984
ICS CG10263
BETAGGT-II CG11722
EBI-75338 LILLI
XPAC EBI-74966
H2.0 CG18854
EBI-106701 CG15047
CG11881 CG4865
CG14864 CG4395
SKPA CG31646
CG13022 MTS
CG13811 RPL34A
EBI-204491 CG11164
NOC CG34362
CG32635 RPL8
CG18591 EBI-126476
MAM SHI
HLHM7 HLHM5
CI CAF1-180
WDB CG10298
CG17331 INX3
CG14546 GP150
CG13001 CG6276
CG14044 CG7810
FD64A EBI-177314
EBI-101869 CG15631
MLC2 PAK
EBI-188413 CPR100A
TERM REG
STCK CG7430
EBI-1632104 CDC2C
CDC37 BCD
DDC CG2199
CG8368 RPS3
CG17667 RPL22
BIN1 CG11266
DISCO CG15529
MUS304 SEP2
AKT1 NLE
CG31122 HSP70AB
SU(R) CG17127
BM-40-SPARC MASK
CPR97EB HLH4C
CG14506 C15
CG2224 EBI-110172
CG9511 HSP22
CG13711 MBO
CG11881 OHO23B
PH-P SCM
CG12079 CG6463
CG9083 CG1342
CG1324 CPR76BA
EBI-161439 CRN
STEP URO
OBST-B URO
CI EBI-84709
EBI-129626 CG6856
SU(RDGB)69 CATSUP
CG1894 CG2182
REV7 CG12393
EBI-146492 NOA36
EBI-176690 CG34383
D MTNB
CG11696 WDB
CG9624 CG15173
CPN CG7357
NOMPB NHE1
EBI-155731 JON65AIII
CG3353 CG31012
CG5599 EBI-105534
EBI-91014 ORB2
CG7386 EBI-86340
LCP1 EBI-122233
CG2713 OR42A
CG13032 CG13030
CG14830 CG2617
PMS2 BETACOP
CG6891 CG13458
PTC DESERT
CG10806 CACTIN
E2F2 CYCK
CG17331 CG12000
SKPC EIF2B-DELTA
CG7568 CG12470
CG34376 MST87F
CG10373 EPSILONCOP
HSP60B CG16728
EBI-102464 PROSBETA5R1
ALD JIM
CG15525 CG1135
KLC CG9609
CCP84AB RPS20
CG5466 CG9812
CG34376 CG13030
CKS85A CG11008
IRBP CG16791
TJ SOL
DWG BEAF-32
CG6254 SPRI
CG31958 CG6084
CG8863 CG5558
BIN1 EBI-665803
TRL TTK
FCP3C CG15365
EBI-195758 CG11164
CG4164 CG13047
EBI-195908 SGT
RBP4 CG2493
CG10032 ALPHATUB84B
ALD EBI-157400
EBI-90335 CG14534
CV-C EBI-161602
EBI-85338 YURI
UBC84D BAP60
MTS RPT4
EBI-154606 EF1GAMMA
EBI-220621 CTP
EBI-75958 EBI-75953
CG5516 L(2)06496
SH LPR2
VPS20 MIO
LK6 CG15631
EBI-75338 EBI-88379
EBI-200992 EBI-140830
CG10026 WWOX
CG11248 CG30428
CG4835 EBI-196335
EIF4E-5 CG2950
CG31682 EBI-85713
D D
EBI-132998 SKPA
CYCJ CG15043
MOD(MDG4) NPC2
DPP EBI-121415
CKIIBETA RPS8
EBI-105213 VM26AB
TJ RPS15AA
CG10694 SMB
OME FUCTD
CG15167 HLH4C
EBI-162921 CG18854
EBI-138930 EBI-163966
HMX CSTF-50
TTV UNC-13-4A
EBI-207496 CPR65EC
KAP-ALPHA1 RPLP1
TAF10 TAF4
TAMO BRK
SPI CG9646
CG6985 YP1
CNN CG15011
CG14224 EBI-203567
CG10311 CG31643
CG15167 SMB
CYCC CG9072
CG6569 CG6856
CG17265 UND
EBI-102558 EBI-115136
MUS304 RPS3A
CG16721 ALPHATUB67C
CG13045 CG13285
FD3F NINAE
DOCK CG2225
SPN-A EBI-161985
C(3)G PEN
SNR1 DX
JANA E2F2
CG7236 CTCF
SPI HK
PAT1 CG17255
CG3032 CG15436
CG12081 ATPSYN-BETA
CG3308 PK17E
EBI-100575 WOC
CG10627 BETA-SPEC
CG9938 CHIP
MOD(MDG4) CHER
EXO70 ACTN
EBI-90335 PP1ALPHA-96A
CCP84AB PNN
EBI-196425 EBI-82680
EBI-119138 CG14983
CG6543 CG17802
CTR1A CG9894
EBI-111518 CG3342
CG14089 CG16791
ES2 CG13083
EBI-127547 CG17777
EBI-163004 EBI-218484
CG6985 CG17265
CRN RDX
PROSBETA5 PROS35
EBI-83112 CG12470
CPR67FA2 CG18563
CG14540 BIP2
CG4835 ATPSYN-BETA
CG5537 CG2278
EBI-100369 EBI-93349
CI KST
CYP9F2 RPL26
CG10103 CG12470
EBI-212395 GKT
CG4360 CG15436
CG12155 CG6707
EBI-100325 SPN-A
CG17999 CG9993
CG6619 CG17086
CG15649 CTBP
CG13032 CG17018
DAP DWG
EBI-134484 CG10650
CG5386 EBI-183080
CUP CG2865
EBI-74966 STUMPS
EBI-208662 EBI-152771
A16 RPL8
EBI-195768 HLH4C
CG8784 EBI-86506
TBPH CYCB
CG10510 RPS26
CG8539 EIF5
PGANT3 CG4577
SEP1 CG5792
TEKTIN-A PK17E
TBPH CG2199
TWS CG5237
EBI-101527 CG14815
CG5355 ARK
PROSBETA3 EF2B
CG17440 CG33213
CG8141 CG2709
SPN-A CG13588
CG2246 RPS17
EBI-199603 CKIIALPHA
CAS CG17255
CG9876 LARK
EPSIN-LIKE CG12992
RAPS IM3
EBI-665803 EBI-665797
CI TEPII
ZORMIN MRPL24
EBI-196732 CG12592
CG11566 DEI
CDM BICC
CG11905 CG18259
CG4476 RPS27
EBI-106192 CG3173
CG14546 CG4049
CG14905 CG9911
CG8539 RPL32
CG32635 CG12378
CG17568 RPS29
MER CG14815
CG14216 NSF2
EBI-86381 CG40127
EBI-146492 CG17272
CG4896 ARF79F
EBI-199603 CG6910
CSN4 SCAT
EBI-88363 EBI-197099
CG7146 ALH
CG13030 CG11148
CG11248 CG31475
CG17331 CG12010
RHOGAP92B CG6398
NEJ SPN-A
TSR ACT88F
EBI-160257 CG34376
CG14667 EBI-233810
MIP130 RBF
BICC GNU
ESC PC
CG13405 ZF30C
CG1104 IMP
REV7 CALPB
GYC-89DB CG7757
EBI-90739 CG8420
CG15440 CAMKII
CCN NOA36
EBI-175261 CTP
SMD3 CP38
ICE NC
CSN3 PP2A-29B
EBI-139956 CG7757
ADF1 EBI-173665
TBPH CG11266
RAC1 RHEA
TOY EBI-125749
EBI-207496 CG10908
SPN-F CG14815
CPB MRPS5
WG BTBVII
EBI-171485 KATANIN-60
EBI-132258 CG2199
SCP2 CHI
EBI-131770 CG10992
CG15370 CPR64AD
CG9130 HSC70-4
CHI AP
EBI-190547 REP4
CG9778 NOA36
CG9986 CG5890
P53 TOU
CG13510 DOT
ARI-2 TRAF3
SNX6 CG13458
CG9004 RPL22
RAPGAP1 GPRK2
CUP RPS26
EBI-161602 NC2ALPHA
CG32354 CG14869
CG31038 RHOGAP1A
CG15423 CG14534
EBI-205381 CG10654
CG4415 EBI-122850
PNG CG11266
EBI-139568 KU80
CG13190 DEL
CG1324 EBI-88852
RPB11 CG12721
CG9511 CG7656
CG10262 EBI-157400
EBI-183080 DLG1
CG3225 NSF2
POLO BI
CG8032 CG1681
KLC CG15309
CHRAC-14 MUB
CG9986 AEF1
TEKTIN-C RANBP9
CG11505 CPR72EA
EBI-458558 CG15043
CG17450 GS1
MST84DC EBI-144692
DX CG3342
HALE INX7
EBI-186934 CG10623
MRPS17 PBURS
EBI-186934 CG5792
CG3911 RPL5
CG17380 CG10263
CG15423 EBI-95719
EXO84 CG31012
CG32133 CG11750
CG3918 T-CP1
CG14186 EBI-235143
DISCO FU2
MNT TRAF3
CG6179 INVADOLYSIN
CG11327 PIT
BETAGGT-II MRPS24
LAC CG15365
EBI-101527 RPS13
EBI-90335 CG14939
HSP60B CG3781
JHI-1 CG4887
CG6416 EBI-118172
CG7011 CG13463
LK6 CG3492
CG7172 RLIP
MNB LIG3
CG12567 CG12393
CG17707 L(2)06225
CG13405 YL-1
NUP133 HOP
CG3225 CG11138
EBI-88363 CG11380
CG11586 KAP-ALPHA3
GRAU GRAU
CG32369 RPS13
UBX CG6455
C901 EBI-231064
EMC SC
CG5050 CG14250
LPR1 CG9426
CG31482 CG11247
CG32635 CG6770
PROSBETA3 FHOS
CG9101 CG1636
PSR DRP1
BRK TRIM9
CG13087 CG32176
UBC84D ARI-2
CYP9F2 CG10589
SRP68 YP1
ZPR1 EBI-170508
CG6945 CP7FC
ALPHA-CAT ARM
SPN-B UNC-13
CG9624 CG11963
EBI-198251 HB
CG15822 CG1578
ENA LAR
P130CAS MIT(1)15
CG7056 USP7
EBI-183485 CG9392
CI NRT
CG7548 CG5665
GM130 EBI-200614
RIG HR39
CG10694 EBI-106192
MOD(MDG4) TANGO9
JON65AIV CG6951
CG4771 EBI-216142
CG14011 EIF-4A
RAB2 CG5337
CI CG3764
ESC E(Z)
EBI-85713 SOL
EBI-170192 RPL18
RB CG4617
FAN FHOS
CG14222 EBI-134407
CG15546 CG1894
ARI-2 EBI-164632
CG5111 VHA68-2
CG10032 CG4404
MTS SOL
JANA CG32809
CG9986 HSP67BC
BG4 ARI-2
GLO TIP60
CG11286 TAMO
CG12581 CKA
INAD CHIP
EBI-195262 CDLC2
CG6416 ED
CG4623 EBI-96589
QKR58E-1 CG6673
ATTA CG15676
MER MOD
HOMER EBI-181271
PLI RPL32
CG3281 CG7386
EBI-183080 CG5284
EBI-188413 CPR11A
CG13310 CG6340
CG8446 RHO1
CG5625 HRS
DIP1 DISCO
EBI-147527 CG12645
CKIIBETA CG17127
EBI-188698 QKR58E-3
CG32635 MRPL32
ELB CG7200
CG6416 LCBP1
CG7967 SC2
PSR ADK2
EBI-179517 CG2774
CG4877 CG15209
CG10478 NOP5
SPN-B RHEA
CG4957 CG10267
NDL NDL
VHAAC39 CREBA
E2F2 RBF2
CG6985 CG3363
CG4860 EBI-167069
HN CG17931
EBI-96930 CG7046
CG6838 ATG8A
CG2931 MBO
CG8173 TCTP
EBI-180708 FAN
F SEMA-2A
CG15649 EBI-151216
CG10267 CG9318
EBI-497141 SOL
USP7 CG33980
CG15141 EBI-133803
VHA44 EBI-2109239
EBI-203567 CG15646
CG2091 HS3ST-B
CG11247 P130CAS
CG5703 MED
SLAM CG2678
CG14410 CG13083
HRB27C LIM3
TLL EBI-208662
CG9510 HSC70-4
BIP1 BIP2
IRBP FRY
RL MKP3
EBI-115621 EBI-149432
CYCJ EBI-466537
CG2865 D
EBI-2012532 EBI-2012532
CG15220 EBI-83821
CG11253 HSP68
PROSBETA3 CG6175
ZPR1 CG7206
KLC CG32169
EBI-85123 MST84DD
CG13913 PROS45
CG10971 CG7207
CG13512 CG13731
STCK TANGO4
CRN CACTIN
PNN CG17564
CG5846 TRE1
SEC5 DUTPASE
EBI-219196 GAPDH2
CG12708 CKIIBETA
CG7146 HSP70AB
CG10075 CG11322
SAK SOX21B
CG5078 CG15370
CG6707 MES2
SRY-ALPHA CG7326
EBI-152886 ADF1
ART4 CG12496
EBI-130134 EBI-155731
CG2034 CG6907
CG33213 EBI-93158
AKT1 SPN-A
CG7966 CG12470
L(2)K14505 RPS3
EBI-128385 RPL4
EBI-105213 ECR
TSP33B TSP86D
EBI-125769 CG32850
CG7156 CG17018
CG17802 CG11247
CG4199 CG12470
CG9986 CG13510
NOC NOC
EBI-233810 CG18764
CG16884 CYT-B5
ORB2 DFD
CNN CG3880
C901 EBI-196732
CG6950 EBI-115599
USF CG32159
SCPX REF(2)P
CG5087 CAM
CYCB RLIP
AKT1 CYCK
CG10721 CG5924
HSP67BA RFABP
LVPD CYP6A19
CG6654 CDLC2
SIRT4 MED15
CG6416 CG5214
CG12124 EBI-213208
OR9A RPL13A
CDC2C WDB
BALL BAF
CG6951 CG2199
MST98CA EBI-90277
P38B SRY-BETA
EBI-152117 CG11164
ARET CUP
EBI-196425 CG32280
PROSALPHA6T CG31919
CG14850 CG5787
CTP REF(2)P
D MRPL27
EBI-128334 CG10650
MOD(MDG4) SRC64B
EBI-129638 STCK
CG15803 CG4896
SPN-B CG1531
HPO EBI-144629
EBI-101527 EBI-128833
CG14512 SZAR
CG15525 CG18619
CG11286 DOR
EXO70 EBI-188039
BETAGGT-II EBI-190712
JON66CII LAMA
CG1702 CCHL
TUB CACT
ACTR13E NRV1
CPR64AD EBI-103780
EBI-155731 CG10032
CG10855 SKPB
EYG HOMER
EBI-157105 CG2199
HSP67BA CG11391
CYCH ECR
CG11489 MER
EBI-125339 CG31672
EBI-170192 EBI-221089
CG32369 CG15436
BX42 BALDSPOT
DAP160 CG5053
DIMM CG7375
CG12203 BOWL
MAPK-AK2 PROS25
L(1)DD4 CG9850
CG11656 CG12241
CG14570 CYCB
CAF1 CAF1
CG13840 CG8907
PIP CG4334
SCP2 EBI-192791
EBI-199603 EBI-188086
EBI-168541 WDB
YKI WTS
RBSN CG12703
EBI-198251 SDC
CDC2C OKR
CI FWD
PTC MICAL
PABP EBI-153274
DNAPOL-IOTA CG31204
CUP SMG
CG12672 CYP28D2
CG4896 ARF102F
BICD EGL
MOR MOR
CPR97EB CG9914
LIMK1 EBI-146828
CG9312 CG10650
PKC98E PLAP
PAT1 CG8086
EBI-82667 EBI-75338
CG9986 CG14907
CG13272 CG11269
RHOGAP92B CG15529
EBI-107965 CG9184
PUF68 ME31B
MI-2 DREF
ARF51F MUS209
TSG101 CG18858
CG14815 CG13890
RAB6 JIL-1
CG7518 SOL
CG6707 ENO
COS CG13366
CG6497 CG7048
DNAPRIM RHOGAP68F
SEC10 JHI-1
ESG DX
RHOGAP68F PP4-19C
PER WOC
CG13133 RCA1
EBI-208011 RPL36
SAS CG32068
CG12393 EBI-106635
CG14145 CG6854
CG8173 CG3342
LBL GRO
AND EBI-123290
MTS GCM
BSK CG2941
CG32626 KRZ
SPI EBI-498019
EG HLHM5
EBI-115404 GRP
CG15479 RPLP1
CV-C BBX
SEP1 SEP2
HNF4 SIMA
CG13502 CG32706
EBI-134407 BIP2
CM CG4554
CG8997 CG5315
TJ ATPSYN-BETA
L(2)GL APKC
CG5618 EBI-152228
CG8417 CG5103
RAN-LIKE CG5337
CG32016 CG6508
MST98CA HSP70AB
EBI-208662 CG4865
SRP68 CG6856
REV7 EBI-128385
ORCT IDGF2
SAK CG11138
MUS209 SKPF
PNUT SEP2
CG11790 CG6733
CG12432 TRAF3
CDC2C CG14119
DLC90F HSP23
CG9986 UBI-P5E
EBI-105436 CG6637
MAD CG13510
OPA CG3016
EBI-133084 EBI-97544
DMRT93B EBI-130849
RFC3 CG8142
CG31708 CG14534
SEC5 DANR
EBI-162173 CG9769
HRS BIB
CG14667 EBI-94564
EBI-136550 EBI-105703
CG31688 EBI-82408
CG8128 S6K
EBI-162921 CG10306
CG5111 UGP
SPT5 D19A
EBI-111518 WEK
EBI-99546 CG6481
HP1E OHO23B
CG6707 FBP
CPR100A CG14153
CG3632 CG7556
MEI-41 BTBVII
EBI-132998 DRP1
MSB1L CG12885
TSG101 CIP4
EBI-166329 EBI-123290
EBI-198120 ATG8A
CG6838 CKIIALPHA-I3
SMB HSP60
RHOGAP68F CG5860
CG5359 CG40127
CG8793 CG31158
EBI-190958 EBI-190958
CG17244 CG9293
CG13996 P115
EIF-4A EIF4G
CG13287 CG1135
TAF10 TBP
HRS CACT
H2.0 EBI-132050
CG14864 LANB2
CG1324 CG14427
CG14882 SUG
EBI-74966 EBI-115928
XBP1 CG3305
BEST2 SC2
LK6 CG12708
CG9624 CG9300
CG12994 CG16853
SAV CG9411
CG12547 EBI-90156
SIRT4 RFESP
CG8292 PPN
CG9463 P115
CG14641 EBI-156955
EBI-251857 RPL22
CG11327 ARPC3B
STAR1 EBI-127547
EBI-203567 CG7386
CUP PDK
CG34401 LANB1
CTP SWA
HMX EF2B
PABP NUCB1
CG7338 ALDH
TRN-SR BLW
EBI-192122 SCU
CG7352 CG9418
CG14145 ALPHATUB84B
CG17085 SPS2
CG17778 CG12589
NURF-38 CG5991
HRP59 CG3308
NOMPB CG5440
CG6617 EBI-194372
MR EBI-192791
CG3099 FIG
SIRT4 MUB
CV CG33980
TBPH CG31973
LANB1 CPR23B
CG32581 CG3056
CG10075 C15
RPR MSPS
BRM MOR
HOE1 CG8840
ARM PYGO
CG31482 CG8319
CG5325 CG16756
CG11699 CG5969
CG17667 CG14534
MYO10A OSK
CG7056 C15
TM1 FLW
CG8116 CKIIALPHA-I3
FS(1)YA RPLP0
SEC10 DYS
EBI-88589 EBI-178079
CG14853 EBI-145669
CG18806 DEI
KNRL EBI-163004
CG32635 CUL-2
CG13993 CG18764
CG4877 CG3294
CDC2 CKS30A
CG12432 ALPHA-SPEC
ARR1 DX
CG3430 MCM5
CPR76BA EBI-83139
EBI-160813 EBI-144082
RPA2 PHDP
MER CG4562
DAP DOR
CHRO CG14534
CG9389 CDLC2
MATS CG16899
CPR92F CG14231
CTBP CG10348
CYCH CG17508
CG31036 MRPL44
RAD51D MSP-300
CG12581 CG3085
CG8863 CG13139
EBI-119138 RPL27A
EBI-107683 CG10154
CI CNO
A10 EBI-198595
RECQ4 LIP3
CG13510 CG13760
CG9986 CG4199
CG4553 CG9426
EBI-147527 CG13512
CG13075 CG33980
CG10971 GR58B
CG13526 LANB1
CG6745 CG14369
PH-P TBP
CG3081 CG17567
CG1324 CG10943
YELLOW-G CG14224
TINC CHIC
CG14546 MEI-S332
CG13949 SEC8
EIF-4E CUP
CG5050 CG5468
CG17244 NC2ALPHA
MSI CG9184
EBI-183535 CG6418
CG14556 EBI-173665
PTC CG9784
CG5973 MEI-S332
OR49A MHC
EBI-160257 RABX5
CG5792 ADK2
PLI RHOGAP18B
CG17744 CG6470
CG3918 CG2199
NUP75 BTBVII
CG8541 EBI-162921
CG33967 HN
CG13139 DS
CG4983 ARP87C
EBI-88363 INV
EBI-90739 DX
CG8831 CSTF-50
CG4279 CG10418
CCP84AD EBI-144082
EBI-187683 LMPT
ZPR1 BC10
EBI-208011 BAP60
EN GRO
EBI-196732 VHA100-2
EBI-1630331 CG11166
CG33980 EBI-117860
CG10527 MOD(MDG4)
CG16888 RPS15AA
